Test Number,Round Number,Word,Match?,User Response,Reaction Time,Correct,Timestamp
1,1,BLUE,True,True,2.111748218536377,True,2025-03-11T22:47:58.999530
1,1,BLUE,True,False,0.05647683143615723,False,2025-03-11T22:48:01.216483
1,1,YELLOW,True,True,0.3188049793243408,True,2025-03-11T22:48:01.375483
1,1,BLUE,False,False,0.04435586929321289,True,2025-03-11T22:48:01.797488
1,1,YELLOW,False,False,0.12253379821777344,True,2025-03-11T22:48:01.945487
1,1,BLUE,False,True,0.06738710403442383,False,2025-03-11T22:48:02.170491
1,1,GREEN,True,True,0.17262601852416992,True,2025-03-11T22:48:02.340490
1,1,GREEN,True,False,0.3128030300140381,False,2025-03-11T22:48:02.615494
1,1,GREEN,False,False,0.18826031684875488,True,2025-03-11T22:48:03.031497
1,1,BLUE,True,True,0.07166910171508789,True,2025-03-11T22:48:03.323501
1,1,RED,False,False,0.09997320175170898,True,2025-03-11T22:48:03.498499
1,1,BLUE,True,True,0.05975914001464844,True,2025-03-11T22:48:03.701501
1,1,GREEN,False,False,0.08608818054199219,True,2025-03-11T22:48:03.863501
1,1,RED,True,True,0.12553906440734863,True,2025-03-11T22:48:04.052503
1,1,YELLOW,False,False,0.09316110610961914,True,2025-03-11T22:48:04.280504
1,1,BLUE,True,False,0.31688976287841797,False,2025-03-11T22:48:04.476506
1,1,RED,False,True,0.14522767066955566,False,2025-03-11T22:48:04.895516
1,1,RED,False,False,0.08628296852111816,True,2025-03-11T22:48:05.143518
1,1,YELLOW,True,False,0.26133203506469727,False,2025-03-11T22:48:05.332512
1,1,YELLOW,False,True,0.1035609245300293,False,2025-03-11T22:48:05.696516
1,2,GREEN,True,True,0.2887253761291504,True,2025-03-11T22:48:07.908054
1,2,RED,False,False,0.02936077117919922,True,2025-03-11T22:48:08.307539
1,2,YELLOW,False,True,0.056426048278808594,False,2025-03-11T22:48:08.439535
1,2,GREEN,True,False,0.021172046661376953,False,2025-03-11T22:48:08.598537
1,2,BLUE,False,True,0.010904073715209961,False,2025-03-11T22:48:08.722536
1,2,RED,True,False,0.02455902099609375,False,2025-03-11T22:48:08.835537
1,2,BLUE,False,False,0.0921487808227539,True,2025-03-11T22:48:08.962542
1,2,GREEN,False,False,0.07314610481262207,True,2025-03-11T22:48:09.158542
1,2,RED,False,True,0.0006971359252929688,False,2025-03-11T22:48:09.334541
1,2,RED,False,False,0.011636018753051758,True,2025-03-11T22:48:09.437545
1,2,BLUE,False,True,0.01143193244934082,False,2025-03-11T22:48:09.552564
1,2,YELLOW,False,True,0.06205487251281738,False,2025-03-11T22:48:09.669565
1,2,GREEN,True,True,0.2560241222381592,True,2025-03-11T22:48:09.837545
1,2,YELLOW,False,True,0.058854103088378906,False,2025-03-11T22:48:10.196553
1,2,RED,False,False,0.041502952575683594,True,2025-03-11T22:48:10.358548
1,2,BLUE,True,False,0.07497787475585938,False,2025-03-11T22:48:10.502549
1,2,GREEN,True,False,0.05536317825317383,False,2025-03-11T22:48:10.679551
1,2,RED,True,True,0.02862095832824707,True,2025-03-11T22:48:10.837550
1,2,RED,False,True,0.07696008682250977,False,2025-03-11T22:48:10.968552
1,2,RED,False,True,0.09813308715820312,False,2025-03-11T22:48:11.147559
1,3,GREEN,True,True,0.001569986343383789,True,2025-03-11T22:48:13.353369
1,3,GREEN,False,True,0.16563892364501953,False,2025-03-11T22:48:13.462581
1,3,GREEN,False,False,0.03564023971557617,True,2025-03-11T22:48:13.732576
1,3,RED,True,True,0.03798389434814453,True,2025-03-11T22:48:13.871579
1,3,BLUE,True,False,0.012449979782104492,False,2025-03-11T22:48:14.011574
1,3,GREEN,True,True,0.007115602493286133,True,2025-03-11T22:48:14.126576
1,3,RED,False,False,0.0012290477752685547,True,2025-03-11T22:48:14.236624
1,3,BLUE,False,True,0.011126995086669922,False,2025-03-11T22:48:14.342598
1,3,RED,True,False,0.0005519390106201172,False,2025-03-11T22:48:14.458586
1,3,BLUE,False,True,0.0010728836059570312,False,2025-03-11T22:48:14.564584
1,3,GREEN,True,False,0.0012233257293701172,False,2025-03-11T22:48:14.670598
1,3,BLUE,False,False,0.0011899471282958984,True,2025-03-11T22:48:14.775599
1,3,BLUE,True,False,0.01370692253112793,False,2025-03-11T22:48:14.881601
1,3,YELLOW,True,True,0.0011491775512695312,True,2025-03-11T22:48:14.999590
1,3,GREEN,True,False,0.0011091232299804688,False,2025-03-11T22:48:15.104592
1,3,RED,False,True,0.0013308525085449219,False,2025-03-11T22:48:15.210593
1,3,GREEN,False,True,0.006072044372558594,False,2025-03-11T22:48:15.316606
1,3,GREEN,False,False,0.002694845199584961,True,2025-03-11T22:48:15.427604
1,3,BLUE,True,True,0.03725004196166992,True,2025-03-11T22:48:15.535590
1,3,YELLOW,False,False,0.04477405548095703,True,2025-03-11T22:48:15.677588
1,4,YELLOW,False,False,0.0016980171203613281,True,2025-03-11T22:48:17.829999
1,4,YELLOW,False,False,0.3085060119628906,True,2025-03-11T22:48:17.938606
1,4,BLUE,True,True,0.0006463527679443359,True,2025-03-11T22:48:18.350609
1,4,GREEN,False,False,0.005123138427734375,True,2025-03-11T22:48:18.454612
1,4,RED,True,True,0.0010280609130859375,True,2025-03-11T22:48:18.563631
1,4,RED,True,True,0.10836505889892578,True,2025-03-11T22:48:18.669612
1,4,YELLOW,True,False,0.41693902015686035,False,2025-03-11T22:48:18.882612
1,4,YELLOW,True,True,0.3481631278991699,True,2025-03-11T22:48:19.402620
1,4,RED,True,True,0.17627501487731934,True,2025-03-11T22:48:19.853620
1,4,RED,True,False,0.4812190532684326,False,2025-03-11T22:48:20.132622
1,4,YELLOW,True,False,1.5856540203094482,False,2025-03-11T22:48:20.716626
1,4,GREEN,True,True,1.1346900463104248,True,2025-03-11T22:48:22.405639
1,4,BLUE,False,False,0.7750370502471924,True,2025-03-11T22:48:23.643648
1,4,RED,True,True,0.6570267677307129,True,2025-03-11T22:48:24.522653
1,4,YELLOW,True,True,0.7980999946594238,True,2025-03-11T22:48:25.282658
1,4,YELLOW,True,True,1.9211828708648682,True,2025-03-11T22:48:26.183662
1,4,GREEN,True,True,0.8363878726959229,True,2025-03-11T22:48:28.207682
1,4,RED,False,False,0.9059858322143555,True,2025-03-11T22:48:29.148689
