Test Number,Round Number,Word,Match?,User Response,Reaction Time,Correct,Timestamp
1,1,RED,True,True,0.6282100677490234,True,2025-03-12T15:44:02.626840
1,1,YELLOW,True,True,0.6183016300201416,True,2025-03-12T15:44:03.356709
1,1,GREEN,True,True,0.506495475769043,True,2025-03-12T15:44:04.075900
1,1,BLUE,True,True,0.45131731033325195,True,2025-03-12T15:44:04.682307
1,1,YELLOW,True,True,0.5625689029693604,True,2025-03-12T15:44:05.235952
1,1,GREEN,True,True,0.5404481887817383,True,2025-03-12T15:44:05.898548
1,1,RED,True,True,0.7072575092315674,True,2025-03-12T15:44:06.539029
1,1,RED,True,True,0.770646333694458,True,2025-03-12T15:44:07.347507
1,1,BLUE,True,True,0.5714511871337891,True,2025-03-12T15:44:08.219473
1,1,YELLOW,True,True,0.6679868698120117,True,2025-03-12T15:44:08.890442
1,1,YELLOW,True,True,0.5394070148468018,True,2025-03-12T15:44:09.658865
1,1,GREEN,True,True,0.5643870830535889,True,2025-03-12T15:44:10.298551
1,1,RED,True,True,0.6985387802124023,True,2025-03-12T15:44:10.963747
1,1,RED,True,True,0.4753849506378174,True,2025-03-12T15:44:11.763015
1,1,BLUE,True,True,0.6914651393890381,True,2025-03-12T15:44:12.338851
1,1,YELLOW,True,True,0.5886075496673584,True,2025-03-12T15:44:13.130314
1,1,BLUE,True,True,0.6032350063323975,True,2025-03-12T15:44:13.819009
1,1,RED,True,True,0.7316672801971436,True,2025-03-12T15:44:14.522889
1,1,GREEN,True,True,0.5547928810119629,True,2025-03-12T15:44:15.354893
1,1,YELLOW,True,True,0.6592037677764893,True,2025-03-12T15:44:16.010932
1,2,YELLOW,True,True,0.7294983863830566,True,2025-03-12T15:44:18.772510
1,2,RED,False,False,0.6439087390899658,True,2025-03-12T15:44:19.602838
1,2,BLUE,True,True,0.6116535663604736,True,2025-03-12T15:44:20.346838
1,2,GREEN,True,True,0.8760311603546143,True,2025-03-12T15:44:21.058445
1,2,YELLOW,True,True,0.7079582214355469,True,2025-03-12T15:44:22.034878
