Test Number,Word,Match?,User Response,Reaction Time,Correct
1,RED,True,True,2.7124369144439697,True
1,GREEN,False,False,2.177474021911621,True
1,YELLOW,True,True,1.009124994277954,True
1,BLUE,True,True,1.1498019695281982,True
1,RED,False,False,0.2412109375,True
1,BLUE,True,True,0.10068988800048828,True
1,YELLOW,True,True,0.0016942024230957031,True
1,RED,False,True,0.0018749237060546875,False
1,YELLOW,False,True,0.0021347999572753906,False
1,RED,False,True,0.001455068588256836,False
1,RED,False,True,0.0018818378448486328,False
1,BLUE,True,True,0.0017762184143066406,True
1,YELLOW,False,True,0.0017461776733398438,False
1,YELLOW,False,False,0.002012968063354492,True
1,YELLOW,False,False,0.0006098747253417969,True
1,YELLOW,True,True,0.0022318363189697266,True
1,RED,True,False,0.001964092254638672,False
1,BLUE,False,True,0.002270221710205078,False
1,RED,True,True,0.0014319419860839844,True
1,RED,True,False,0.0021178722381591797,False
2,GREEN,False,False,0.4639749526977539,True
2,BLUE,False,True,0.0032677650451660156,False
2,GREEN,True,True,0.0023469924926757812,True
2,GREEN,True,True,0.002859830856323242,True
2,GREEN,False,False,0.00215911865234375,True
2,YELLOW,False,True,0.0040130615234375,False
2,GREEN,True,False,0.003392934799194336,False
2,GREEN,False,True,0.003401041030883789,False
2,YELLOW,True,True,0.0032608509063720703,True
2,BLUE,False,False,0.0010418891906738281,True
2,BLUE,False,True,0.0037550926208496094,False
2,RED,True,False,0.003795146942138672,False
2,YELLOW,False,True,0.003696918487548828,False
2,GREEN,False,True,0.003526926040649414,False
2,YELLOW,True,False,0.0036187171936035156,False
2,GREEN,True,True,0.0033102035522460938,True
2,BLUE,True,True,0.0036590099334716797,True
2,BLUE,False,False,0.002961874008178711,True
2,RED,False,False,0.0024399757385253906,True
2,BLUE,False,True,0.0010619163513183594,False
3,YELLOW,False,True,0.3569920063018799,False
3,YELLOW,True,True,0.0030601024627685547,True
3,RED,True,False,0.13591718673706055,False
3,BLUE,False,True,0.0037660598754882812,False
3,BLUE,True,True,0.003269672393798828,True
3,YELLOW,False,False,0.0036437511444091797,True
3,YELLOW,False,True,0.002746105194091797,False
3,YELLOW,True,True,0.0011992454528808594,True
3,YELLOW,True,True,0.003065824508666992,True
3,GREEN,True,False,0.0033490657806396484,False
3,GREEN,False,False,0.0018219947814941406,True
3,RED,True,True,0.0029981136322021484,True
3,RED,True,True,0.0021088123321533203,True
3,BLUE,False,False,0.002841949462890625,True
3,GREEN,True,True,0.003796815872192383,True
3,RED,True,False,0.0015859603881835938,False
3,YELLOW,False,True,0.0036191940307617188,False
3,YELLOW,False,True,0.0018329620361328125,False
3,YELLOW,False,True,0.0032088756561279297,False
3,RED,False,False,0.0031468868255615234,True
4,BLUE,False,False,1.0670289993286133,True
4,YELLOW,False,True,0.0016069412231445312,False
4,YELLOW,False,True,0.0018658638000488281,False
4,GREEN,False,True,0.001744985580444336,False
4,BLUE,False,True,0.0018661022186279297,False
4,BLUE,True,False,0.0009458065032958984,False
4,BLUE,True,False,0.0017549991607666016,False
4,YELLOW,True,False,0.001619100570678711,False
4,BLUE,True,True,0.0014030933380126953,True
4,GREEN,True,True,0.0016889572143554688,True
4,BLUE,True,True,0.0020308494567871094,True
4,GREEN,True,False,0.0008068084716796875,False
4,BLUE,False,False,0.0016598701477050781,True
4,RED,False,True,0.0012979507446289062,False
4,YELLOW,False,False,0.001611948013305664,True
4,GREEN,False,False,0.0018661022186279297,True
4,RED,False,True,0.0007061958312988281,False
4,YELLOW,True,True,0.0018360614776611328,True
4,RED,False,True,0.0012881755828857422,False
4,RED,True,True,0.001743316650390625,True
5,YELLOW,False,False,0.40016913414001465,True
5,GREEN,False,False,0.002001047134399414,True
5,RED,False,False,0.0014431476593017578,True
5,GREEN,False,True,0.0017437934875488281,False
5,GREEN,False,False,0.0012519359588623047,True
5,YELLOW,True,True,0.0024230480194091797,True
5,GREEN,True,True,0.003153085708618164,True
5,GREEN,True,False,0.0016770362854003906,False
5,GREEN,True,True,0.0021331310272216797,True
5,GREEN,False,True,0.002552032470703125,False
5,GREEN,True,False,0.002052783966064453,False
5,BLUE,True,False,0.003350973129272461,False
5,BLUE,False,False,0.0017228126525878906,True
5,RED,True,False,0.0026009082794189453,False
5,RED,True,True,0.003122091293334961,True
5,RED,False,True,0.003001689910888672,False
5,BLUE,False,True,0.0027740001678466797,False
5,BLUE,True,False,0.004593849182128906,False
5,BLUE,False,False,0.0028600692749023438,True
5,BLUE,True,True,0.0020389556884765625,True
